RUU CSF TIMESERIE INTENSITY NORMAL 	
2	
time	
rain 	
0	0
2	6
4	12
6	6
8	0
10	0
12	6
14	0
16	6
18	18
20	18
22	24
24	30
26	36
28	30
30	24
32	24
34	54
36	102
38	48
40	24
42	30
44	18
46	6
48	6
50	0
52	0
54	0
56	6
58	0
60	0
62	0
64	0
66	6
68	0
70	0
72	6
74	6
76	6
78	6
80	12
82	6
84	6
86	6
88	6
90	6
92	6
94	6
96	6
98	6
100	6
102	6
104	0
106	6
108	0
110	6
112	0
114	0
116	6
118	0
120	0
122	6
124	0
126	0
128	0
130	0
132	0
134	0
136	0
138	0
140	0
142	0
144	0
146	0
148	0
150	0
152	0
154	0
156	0
158	0
160	0
162	0
164	0
166	0
168	0
170	0
172	0
174	0
176	0
178	0
180	0
182	0
184	0
186	0
188	0
190	0
192	0
194	0
196	0
198	0
200	0
202	0
204	0
206	0
208	0
210	0
212	0
214	0
216	0
218	0
